cluster,segment code,segment,Family code,Family                   ,MC. Desc            ,Class code,Class                 ,Brick code,Brick,Article Code,UOM,foodcouponaccepted,weightedItem,speciality,finiteinventory,Desc,Sarla Grand,Super Vidyaranyanpur,Ascendas Park,Vijaynagar TTMC,L3 code,L3,L2 Code,L2,L1 code,L1,,RRP,MRP1,MRP2,MRP3,MRP4,MRP5
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490006376,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE DRY FRUITS MIXED 500 g PP     ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,,329,367,0,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416753,kg,TRUE,TRUE,FALSE,TRUE,MANAK MIXED DRY FRUITS 100 g PP         ,Y,Y,Y,Y,142,Assorted,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,135,135,72,63,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416755,kg,TRUE,TRUE,FALSE,TRUE,MANAK MIXED DRY FRUITS 500 g PP         ,Y,Y,Y,Y,142,Assorted,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,672,672,360,311,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416759,kg,TRUE,TRUE,FALSE,TRUE,MANAK APRICOT 100 g PP                  ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,177,177,53,49,105,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416768,kg,TRUE,TRUE,FALSE,TRUE,MANAK WALNUT WHOLE 100 g PP             ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,86,86,53,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416770,kg,TRUE,TRUE,FALSE,TRUE,MANAK WALNUT KERNELS 100 g PP           ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,167,167,135,171,177,108
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416771,kg,TRUE,TRUE,FALSE,TRUE,MANAK WALNUT KERNELS 250 g PP           ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,418,418,385,401,336,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490416794,kg,TRUE,TRUE,FALSE,TRUE,MANAK DRY FRUIT CHIKKI 250 g CBD        ,Y,Y,Y,Y,124,Sweets,12,Chocolates & Sweets,1,Confectionery & Snacks,Save 2 %,131,131,131,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490607211,kg,TRUE,TRUE,FALSE,TRUE,NUTRAJ SIGNATRE RG WALNUTKERNEL 200 g PP,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,BUY 1 GET 1 FREE,475,475,475,435,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490830973,kg,TRUE,TRUE,FALSE,TRUE,KMRS PURIE DESICCATED COCONUT 100 g PP  ,Y,Y,Y,Y,583,Seasonings,58,Spices & Condiments,5,Grocery & Staples,,50,50,50,40,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,490919226,kg,TRUE,TRUE,FALSE,TRUE,VKCS DRIED APRICOTS 200 g TRY           ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,245,245,245,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491185157,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE COCONUT DRY PWDR 250 g PP     ,Y,Y,Y,Y,582,Powdered,58,Spices & Condiments,5,Grocery & Staples,Save 5 %,48,48,96,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186638,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE APRICOT 100 g PP              ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,120,120,120,119,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186640,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE¾ DRY FRUITS MIXED 200 g PP    ,Y,Y,Y,Y,142,Assorted,14,Dry Fruits,1,Confectionery & Snacks,,160,170,170,0,0,0
